"Timestamp","What's your name ","How do you commute to work?","What's your favorite colour?","What's your strongest strength?","What's your plans after the 9 months course?","What is something you love to do in your spare time?"
"2022/11/16 2:53:08 pm GMT","Rocio","","blue","I'm quite empathetic","Get a job or travel","Reading"
"2022/11/16 2:55:53 pm GMT","Shi Shi","","Purple","Learning new things","No Plan","Workout"
"2022/11/16 2:56:27 pm GMT","Jana","","Green","Patience","holiday","Listening to music"
"2022/11/16 3:10:00 pm GMT","Tilly ","","Orange","perseverance ","No idea ","Sewing"
"2022/11/16 5:46:52 pm GMT","Wen","Thameslink","Blue","Communication","Get hired in WPP","reading, watching movies and meeting friends"
"2022/11/16 8:42:13 pm GMT","Adele","By train","Blue","Creative ","Hopefully get a great job.","Watch sci-fi movies."
"2022/11/17 2:08:09 pm GMT","Beth","Underground","Purple","Resilience","Not sure yet","Go to raves"
"2022/11/17 3:00:53 pm GMT","Kat","walk","purple","creativity ","teach another one :)","dance"
"2022/11/18 12:06:04 pm GMT","Dara","Overground and Underground","Purple","Listening","Continue working","Watch shows on Netflix"
"2022/11/18 1:15:46 pm GMT","Jade","Bus","Neon Green","Doing winged eyeliner in one swoop","More creative technology!","Gaming"
"2022/11/18 1:58:59 pm GMT","Ning Wei","Tube","Purple","Not sure","Not sure","Watch movie/ dramas"
"2022/11/18 4:02:11 pm GMT","Zishan liu","Bus","pink","honesty","work",""